omega,lambda=-0.125,lambda=-0.5,lambda=-0.75,lambda=-0.875
-1.0199999999999996,0.13882215030594705,0.08974737728530485,0.06779621982302654,0.0593526116687536
-1.0099999999999998,0.13856547427933413,0.08931951929954354,0.06743021837496659,0.05902538536035223
-1.0,0.13831134384284788,0.08889836234373788,0.06707040228771771,0.05870376268609529
-0.9899999999999993,0.1380597614966319,0.08848381623746641,0.06671667237923322,0.058387651235886344
-0.9799999999999995,0.1378107295554237,0.08807579262179838,0.06636893181180602,0.05807696083875114
-0.9699999999999998,0.13756425015410254,0.08767420492317442,0.06602708603209724,0.057771603503476356
-0.96,0.13732032525315166,0.0872789683181303,0.06569104271302702,0.05747149336115986
-0.9499999999999993,0.13707895664403522,0.08688999969884444,0.06536071169746369,0.05717654660960415
-0.9399999999999995,0.13684014595448998,0.08650721763949143,0.06503600494365003,0.05688668145948754
-0.9299999999999997,0.136603894653732,0.08613054236338324,0.06471683647230818,0.05660181808225014
-0.9199999999999999,0.13637020405757969,0.0857598957108816,0.06440312231536652,0.05632187855963447
-0.9100000000000001,0.13613907533349248,0.08539520110806337,0.06409478046625425,0.05604678683482277
-0.8999999999999995,0.13591050950552647,0.08503638353612306,0.06379173083171137,0.05577646866511532
-0.8899999999999997,0.1356845074592069,0.08468336950149574,0.06349389518506372,0.05551085157609664
-0.8799999999999999,0.13546106994631887,0.08433608700668431,0.06320119712091467,0.05524986481723778
-0.8700000000000001,0.13524019758961572,0.08399446552177559,0.06291356201120699,0.054993439318886055
-0.8599999999999994,0.13502189088744682,0.08365843595662982,0.06263091696260993,0.054741507650594406
-0.8499999999999996,0.13480615021830433,0.08332793063372902,0.0623531907751886,0.054494003980745345
-0.8399999999999999,0.13459297584529054,0.08300288326166862,0.06208031390231353,0.054250864037425114
-0.8300000000000001,0.13438236792050548,0.08268322890927919,0.06181221841177118,0.054012025070506876
-0.8199999999999994,0.13417432648935634,0.08236890398036341,0.06154883794803633,0.05377742581490186
-0.8099999999999996,0.1339688514947887,0.08205984618903528,0.06129010769566944,0.053547006454940003
-0.7999999999999998,0.13376594278144066,0.0817559945356476,0.061035964343803116,0.05332070858984255
-0.79,0.13356560009972024,0.08145728928329515,0.06078634605168351,0.05309847520025075
-0.7799999999999994,0.1333678231098074,0.08116367193488103,0.06054119241523328,0.052880250615776225
-0.7699999999999996,0.13317261138558062,0.0808750852107328,0.06030044443460419,0.05266598048353954
-0.7599999999999998,0.13297996441846913,0.08059147302675765,0.06006404448268859,0.05245561173766516
-0.75,0.1327898816212317,0.08031278047312337,0.05983193627456012,0.05224909256970194
-0.7399999999999993,0.13260236233166273,0.08003895379345487,0.05960406483781505,0.05204637239993962
-0.7299999999999995,0.13241740581622574,0.07976994036453411,0.05938037648378665,0.05184740184959278
-0.7199999999999998,0.1322350112736162,0.07950568867649263,0.05916081877960597,0.05165213271382467
-0.71,0.13205517783825318,0.07924614831348627,0.05894534052108353,0.051460517935584864
-0.6999999999999993,0.13187790458370163,0.0789912699348414,0.05873389170638725,0.05127251158023485
-0.6899999999999995,0.1317031905260257,0.07874100525666251,0.05852642351049262,0.051088068810937554
-0.6799999999999997,0.13153103462707336,0.07849530703389106,0.05832288826038226,0.05090714586478666
-0.6699999999999999,0.13136143579769416,0.07825412904280635,0.058123239410972846,0.05072970002965367
-0.6600000000000001,0.1311943929008899,0.07801742606395848,0.05792743152174776,0.05055568962173021
-0.6499999999999995,0.13102990475489965,0.07778515386552459,0.057735420234075165,0.05038507396374496
-0.6399999999999997,0.13086797013621945,0.07755726918707917,0.05754716224919156,0.05021781336383471
-0.6299999999999999,0.13070858778255778,0.07733372972376978,0.05736261530683143,0.050053869095049976
-0.6200000000000001,0.1305517563957276,0.07711449411088982,0.05718173816448475,0.04989320337547645
-0.6099999999999994,0.13039747464447532,0.07689952190883981,0.057004490577264595,0.04973577934895414
-0.5999999999999996,0.13024574116724777,0.07668877358846943,0.05683083327836745,0.04958156106637649
-0.5899999999999999,0.13009655457489822,0.07648221051679226,0.05666072796010941,0.04943051346755303
-0.5800000000000001,0.12994991345333137,0.07627979494306542,0.05649413725552303,0.049282602363618824
-0.5699999999999994,0.129805816366089,0.07608148998522728,0.05633102472049853,0.04913779441997558
-0.5599999999999996,0.12966426185687652,0.07588725961668534,0.05617135481645501,0.048996057139749
-0.5499999999999998,0.12952524845203078,0.07569706865344752,0.05601509289352701,0.04885735884774786
-0.54,0.12938877466293114,0.07551088274159015,0.055862205174252694,0.04872166867491108
-0.5299999999999994,0.12925483898835285,0.07532866834505579,0.05571265873775032,0.04858895654322895
-0.5199999999999996,0.12912343991676503,0.07515039273377441,0.055566421504369946,0.04845919315112579
-0.5099999999999998,0.12899457592857272,0.07497602397210183,0.055423462220807955,0.048332349959291275
-0.5,0.12886824549830447,0.07480553090756911,0.05528375044567254,0.048208399176948594
-0.4899999999999993,0.12874444709674585,0.07463888315993701,0.05514725653548837,0.04808731374854754
-0.47999999999999954,0.12862317919301974,0.07447605111054977,0.05501395163112951,0.04796906734087166
-0.46999999999999975,0.12850444025661373,0.07431700589198258,0.0548838076446694,0.047853634330548206
-0.45999999999999996,0.12838822875935563,0.0741617193779773,0.0547567972466381,0.047740989791950954
-0.4499999999999993,0.12827454317733766,0.07401016417366105,0.054632893853676236,0.04763110948548552
-0.4399999999999995,0.12816338199278995,0.07386231360604284,0.05451207161657634,0.04752396984624777
-0.4299999999999997,0.12805474369590375,0.07371814171478275,0.054394305408702076,0.047419547973045734
-0.41999999999999993,0.12794862678660548,0.0735776232432294,0.05427957081477661,0.04731782161777637
-0.41000000000000014,0.12784502977628173,0.07344073362972066,0.05416784412003109,0.047218769175148376
-0.39999999999999947,0.127743951189456,0.07330744899914306,0.05405910229970546,0.047122369672742796
-0.3899999999999997,0.1276453895654179,0.07317774615474582,0.05395332300889309,0.04702860276140349
-0.3799999999999999,0.12754934345980512,0.07305160257020483,0.053850484572721714,0.04693744870594957
-0.3700000000000001,0.12745581144613893,0.07292899638193273,0.053750565976863285,0.046848888376202734
-0.35999999999999943,0.12736479211731372,0.07280990638163114,0.05365354685836549,0.04676290323832222
-0.34999999999999964,0.12727628408704098,0.07269431200908094,0.053559407496798134,0.046679475346440374
-0.33999999999999986,0.12719028599124854,0.07258219334516697,0.053468128805707636,0.046598587334592614
-0.33000000000000007,0.12710679648943518,0.07247353110513374,0.05337969232437347,0.04652022240893525
-0.3199999999999994,0.1270258142659815,0.07236830663206845,0.05329408020986023,0.0464443643402451
-0.3099999999999996,0.12694733803141742,0.07226650189060799,0.053211275229359624,0.04637099745669523
-0.2999999999999998,0.12687136652364633,0.0721680994608667,0.05313126075281661,0.04630010663690106
-0.29000000000000004,0.1267978985091273,0.07207308253258199,0.05305402074583441,0.04623167730323167
-0.27999999999999936,0.12672693278401487,0.07198143489947428,0.05297953976285304,0.04616569541538095
-0.2699999999999996,0.12665846817525736,0.07189314095381906,0.05290780294059664,0.04610214746419401
-0.2599999999999998,0.12659250354165394,0.0718081856812277,0.05283879599178454,0.0460410204657438
-0.25,0.126529037774871,0.07172655465563472,0.05277250519910174,0.04598230195565366
-0.23999999999999932,0.12646806980041803,0.07164823403448867,0.05270891740942438,0.04592597998366148
-0.22999999999999954,0.1264095985785835,0.07157321055414459,0.05264802002829608,0.04587204310842143
-0.21999999999999975,0.12635362310533121,0.07150147152545507,0.05258980101465105,0.04582048039253914
-0.20999999999999996,0.12630014241315718,0.07143300482955832,0.052534248875780454,0.045771281397836795
-0.1999999999999993,0.12624915557190775,0.07136779891386075,0.052481352662538096,0.04572443618084475
-0.1899999999999995,0.12620066168955885,0.07130584278821195,0.05243110196478248,0.04567993528851586
-0.17999999999999972,0.12615465991295707,0.07124712602127041,0.052383486907051406,0.0456377697541599
-0.16999999999999993,0.1261111494285228,0.07119163873705794,0.052338498144466734,0.04559793109359453
-0.16000000000000014,0.1260701294629154,0.07113937161170115,0.05229612685886569,0.045560411301510395
-0.14999999999999947,0.12603159928366095,0.0710903158703581,0.05225636475515672,0.04552520284804747
-0.13999999999999968,0.12599555819974292,0.07104446328432905,0.052219204057896706,0.04549229867558011
-0.1299999999999999,0.1259620055621557,0.07100180616834928,0.05218463750808754,0.04546169219570861
-0.1200000000000001,0.12593094076442143,0.07096233737806303,0.052152658360189674,0.04543337728645479
-0.10999999999999943,0.1259023632430702,0.07092605030767704,0.05212326037935049,0.04540734828965997
-0.09999999999999964,0.12587627247808397,0.0708929388877928,0.05209643783884574,0.04538360000858303
-0.08999999999999986,0.12585266799330433,0.07086299758341592,0.052072185517731975,0.04536212770569701
-0.08000000000000007,0.12583154935680413,0.07083622139214225,0.05205049869870882,0.04534292710068265
-0.0699999999999994,0.12581291618122337,0.07081260584251924,0.05203137316618893,0.04532599436861736
-0.05999999999999961,0.12579676812406934,0.07079214699258206,0.05201480520457502,0.04531132613835831
-0.04999999999999982,0.12578310488798106,0.07077484142856383,0.0520007915967421,0.04529891949111854
-0.040000000000000036,0.1257719262209583,0.07076068626377884,0.05198932962272441,0.04528877195923486
-0.02999999999999936,0.12576323191655547,0.07074967913767878,0.05198041705860579,0.04528088152512698
-0.019999999999999574,0.12575702181403955,0.07074181821508112,0.05197405217561288,0.04527524662044681
-0.009999999999999787,0.12575329579851346,0.0707371021855693,0.05197023373941045,0.04527186612541744
0.0,0.1257520538010037,0.07073553026306459,0.051968961009598476,0.045270739368361346
0.010000000000000675,0.12575329579851346,0.0707371021855693,0.05197023373941045,0.04527186612541744
